,,P_orb,p_err,M_sini,m_err,M_Star,remark
J01125-169,YZ Cet,3.05994,0.0001,1.14,0.11,0.132,
J02002+130,TZ Ari,772.05,2.2,73.1,6.4,0.15,
J02530+168,Teegardenâ€™s Star,4.91,0.001,1.05,0.13,0.094,
J03133+047,CD Cet,2.29,0.0001,3.95,0.43,0.16,
J05033-173,LP 776-046 ,1.917,-5.3E-05,3.483,0.4,0.259,candidate
J07274+052,Luyten's Star,18.6498,0.005,2.89,0.27,0.281,
J08409-234,GJ 317,692,2,575,15.9,0.42,
J08413+594,GJ 3512,203.59,0.14,147,7,0.12,
J12479+097,GJ 486,1.467133,2.5E-05,2.81,0.13,0.323,
J13229+244,GJ 3779,3.0232,0.0013,8,0.5,0.264,
J14342-125,HN Lib,36.09,0.03,6.04,0.3,0.291,
J15194-077,GJ 581,5.368,0.001,15.2,0.27,0.33,
J16303-126,GJ 628,1.2567,0.001,2.211,0.423,0.323,
J17033+514 ,GJ 3988,6.9394,0.0008,6.571,1.66,0.184,candidate
J20260+585,Wolf 1069,15.56,0.02,1.26,0.21,0.16,
J21466+668,G 264-01,2.30531,0.00023,2.55,0.25,0.2973,
J22137-176,GJ 1265,3.6511,0.001,7.4,0.5,0.171,
J05019-069 ,GJ 3323,40.54,0.21,2.31,0.51,0.173,other_survey
